Ligand,Score
ligand_0,-0.8
ligand_1,-1.2
ligand_2,-0.9
ligand_3,-0.8
ligand_4,-1.0
ligand_5,-1.0
ligand_6,-1.0
ligand_7,-1.0
ligand_8,-0.9
ligand_9,-0.9
